PC1,PC2,Cluster,Age
1.680042533375786,-1.1701514087427891,1,75 or older
-0.9179771456217294,-0.43942336295508094,3,45-54
0.02960666687681272,0.34062931825152126,1,65-74
-0.5323748894933079,-0.3814971297776488,3,75 or older
0.3022448713285122,-0.933155627008173,1,65-74
-1.3066864278934271,0.10392470830257318,3,65-74
1.399147726700742,-1.5173495104473316,1,65-74
-1.69608766240386,2.1626548467234192,0,65-74
1.61970143649016,-0.28723549052933867,1,45-54
-1.3666918717938663,1.2229657157005263,0,45-54
-1.69608766240386,2.1626548467234192,0,75 or older
0.664848637610817,0.7105903801598482,1,65-74
1.193535204849066,-0.4645060464282759,1,45-54
-1.636082218503421,1.0436138393254655,0,55-64
-1.0729157297356597,1.1016019178439131,0,65-74
2.1159655667152064,0.5065786946854217,2,45-54
0.22101432626411838,0.2931682805701677,1,45-54
1.3216848794698208,4.242178373725689,0,
